H = 542625720
task 1 is:
taskName = 1
k = 0
worsCaseLow = 5
worsCaseHigh = 60
T = 120
D = 120
criticality = High
numOfTolerance = 1
numOfExecution = 3
releaseTime = 0
delta = 60
VD = 60

task 2 is:
taskName = 2
k = 0
worsCaseLow = 5
worsCaseHigh = 5
T = 119
D = 119
criticality = Low
numOfTolerance = 0
numOfExecution = 1
releaseTime = 0
delta = 0
VD = 119

task 3 is:
taskName = 3
k = 0
worsCaseLow = 6
worsCaseHigh = 6
T = 84
D = 84
criticality = Low
numOfTolerance = 0
numOfExecution = 1
releaseTime = 0
delta = 0
VD = 84

task 4 is:
taskName = 4
k = 0
worsCaseLow = 6
worsCaseHigh = 6
T = 26
D = 26
criticality = Low
numOfTolerance = 0
numOfExecution = 1
releaseTime = 0
delta = 0
VD = 26

task 5 is:
taskName = 5
k = 0
worsCaseLow = 8
worsCaseHigh = 8
T = 185
D = 185
criticality = Low
numOfTolerance = 0
numOfExecution = 1
releaseTime = 0
delta = 0
VD = 185

task 6 is:
taskName = 6
k = 0
worsCaseLow = 5
worsCaseHigh = 5
T = 79
D = 79
criticality = Low
numOfTolerance = 0
numOfExecution = 1
releaseTime = 0
delta = 0
VD = 79

